,State,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,fips
0,Alaska,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FFFF00,#FFFF00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,US01
1,Alabama,#0000FF,#007DFF,#007DFF,#007DFF,#007DFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00ff7D,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US02
2,Arkansas,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00ff7D,#00ff7D,#00FF00,#00FF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,US05
3,Arizona,#7DFF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#00FF00,#7DFF00,#00FF00,#00ff7D,#00ff7D,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,#FF7D00,US04
4,California,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US06
5,Colorado,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#FFFF00,#00FF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US08
6,Connecticut,#00FF00,#00FF00,#00FFFF,#00FFFF,#007DFF,#0000FF,#007DFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US09
7,District of Columbia,#0000FF,#0000FF,#007DFF,#00FF00,#00ff7D,#00ff7D,#00FF00,#00ff7D,#00ff7D,#00FF00,#7DFF00,#00FF00,#00FF00,#00ff7D,#00FF00,#00FF00,#00FF00,#00ff7D,#00FF00,#00ff7D,#00FF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US11
8,Delaware,#00ff7D,#00ff7D,#00ff7D,#0000FF,#0000FF,#0000FF,#007DFF,#007DFF,#007DFF,#007DFF,#007DFF,#007DFF,#007DFF,#0000FF,#0000FF,#0000FF,#007DFF,#007DFF,#007DFF,#00ff7D,#00FFFF,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00ff7D,#00FFFF,#007DFF,#007DFF,#00FFFF,#00FFFF,#00ff7D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,US10
9,Florida,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#7DFF00,#FFFF00,#FFFF00,#FFFF00,#7DFF00,#00FF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#7DFF00,#00FF00,#00FF00,#00FF00,#00FF00,US12
