,year,males,females,total
0,1990,46,43,89
1,1991,57,50,107
2,1992,51,39,90
3,1993,64,51,115
4,1994,65,48,113
5,1995,66,47,113
6,1996,64,36,100
7,1997,68,47,115
8,1998,58,47,105
9,1999,65,42,107
10,2000,69,46,115
11,2001,60,36,96
12,2002,63,45,108
13,2003,75,38,113
14,2004,75,37,112
15,2005,91,34,125
16,2006,105,58,163
17,2007,101,47,148
18,2008,125,47,172
19,2009,137,67,204
20,2010,165,59,224
21,2011,244,108,352
22,2012,236,99,335
23,2013,237,107,344
24,2014,205,115,320
25,2015,254,127,381
26,2016,255,172,427
27,2017,283,169,452
