,,,Gender,,,Age at Disappearance,,,,,,,,,,,,,,,,,,,Race / Ethnicity,,,,,
Year,Total Missing,,Males,Females,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,,White/Caucasian,Hispanic/Latino,Black/African American,Asian,Native American/Alaskan Native,Other
1968,15,,6,9,,1,0,0,2,3,3,0,1,0,2,0,1,1,0,0,0,0,0,,13,0,1,0,0,0
1969,32,,17,15,,2,1,0,4,3,2,1,4,2,1,1,0,0,0,0,0,0,0,,27,2,1,0,0,0
1970,21,,9,12,,0,0,0,8,1,3,2,0,0,0,0,1,2,0,0,0,0,0,,18,2,1,0,0,0
1971,39,,24,15,,0,0,3,3,6,5,5,1,5,3,0,0,1,0,0,0,0,0,,35,1,1,0,0,0
1972,34,,20,14,,0,1,2,6,5,1,3,2,3,0,0,1,0,1,0,1,0,0,,28,0,2,1,0,2
1973,52,,27,25,,2,1,4,9,14,5,3,1,0,1,2,2,0,0,0,2,1,0,,43,0,6,0,0,1
1974,62,,25,37,,1,3,6,11,10,6,4,3,1,1,2,1,0,0,0,0,0,1,,52,4,2,1,0,0
1975,63,,31,32,,1,1,3,7,17,7,5,3,0,0,1,0,2,0,1,0,0,0,,51,2,7,0,0,1
1976,77,,36,41,,1,0,0,10,14,16,7,5,2,4,2,0,1,0,2,0,0,0,,65,3,7,0,0,0
1977,82,,44,38,,2,0,4,14,15,9,3,7,2,2,2,2,0,1,0,0,0,0,,66,6,6,0,0,1
1978,99,,50,49,,1,3,2,9,19,15,7,6,4,4,1,1,1,0,1,0,0,0,,83,4,10,1,0,0
1979,95,,45,50,,0,0,2,13,21,13,6,8,3,1,3,3,2,0,0,1,0,0,,85,2,4,0,0,1
1980,110,,62,48,,1,2,1,11,21,19,6,10,7,2,2,2,1,1,2,1,1,0,,92,4,12,0,0,0
1981,132,,69,63,,0,0,4,11,25,21,17,3,6,6,3,4,1,0,2,1,1,0,,113,7,9,2,0,1
1982,130,,75,55,,0,1,3,12,20,19,20,10,4,4,5,2,1,1,0,0,0,0,,102,9,14,1,0,1
1983,127,,85,42,,1,0,1,16,18,17,11,7,7,3,5,1,0,6,2,1,1,0,,102,8,9,3,0,3
1984,149,,88,61,,2,0,3,12,24,25,16,8,2,6,2,6,4,2,1,2,2,0,,120,9,12,4,0,1
1985,129,,76,53,,2,1,0,11,20,29,13,11,7,8,3,0,1,2,2,0,0,0,,107,11,7,2,0,2
1986,140,,85,55,,0,0,0,12,20,26,18,13,9,4,3,2,3,1,1,0,0,1,,109,12,13,2,0,1
1987,135,,87,48,,0,0,1,8,29,28,16,8,5,4,4,6,1,1,1,0,1,0,,94,16,15,5,0,0
1988,123,,89,34,,0,0,1,8,15,14,23,9,5,6,2,0,3,3,2,1,0,1,,92,16,10,1,0,1
1989,115,,62,53,,0,0,1,6,17,14,19,13,10,0,2,1,2,2,2,1,0,0,,79,12,20,4,0,0
1990,119,,66,53,,0,0,1,11,13,19,15,7,7,7,9,0,1,1,2,0,0,0,,87,10,19,2,0,0
1991,151,,85,66,,1,0,1,8,11,27,18,12,8,5,2,3,2,4,1,2,1,1,,90,15,35,7,0,0
1992,128,,75,53,,0,0,0,7,8,14,24,12,14,8,3,2,2,2,1,3,4,0,,93,13,18,2,0,0
1993,154,,93,61,,1,0,6,11,19,22,19,12,8,8,1,5,3,3,0,0,1,1,,108,22,17,2,0,1
1994,152,,85,67,,0,0,0,10,15,18,20,12,19,7,7,3,0,1,4,2,0,0,,102,19,20,5,0,3
