Year,Total,Males,Females
1968,15,6,9
1969,32,17,15
1970,21,9,12
1971,39,24,15
1972,34,20,14
1973,52,27,25
1974,62,25,37
1975,63,31,32
1976,77,36,41
1977,82,44,38
1978,99,50,49
1979,95,45,50
1980,110,62,48
1981,132,69,63
1982,130,75,55
1983,127,85,42
1984,149,88,61
1985,129,76,53
1986,140,85,55
1987,135,87,48
1988,123,89,34
1989,115,62,53
1990,119,66,53
1991,151,85,66
1992,128,75,53
1993,154,93,61
1994,152,85,67
1995,171,105,66
1996,143,90,53
1997,160,97,63
1998,152,85,67
1999,156,96,60
2000,174,99,75
2001,155,101,54
2002,138,82,56
2003,163,105,58
2004,157,104,53
2005,212,149,63
2006,257,161,96
2007,238,158,80
2008,272,203,69
2009,334,232,102
2010,353,254,99
2011,542,376,166
2012,466,314,152
2013,487,335,152
2014,453,293,160
2015,584,378,206
2016,675,397,278
2017,633,385,248
