year,Race,Origin,Sex,Age,Population
1990,American Indian/Alaska Native,Not applicable,Female,00-04,426930
1990,American Indian/Alaska Native,Not applicable,Female,05-09,410011
1990,American Indian/Alaska Native,Not applicable,Female,10-14,381105
1990,American Indian/Alaska Native,Not applicable,Female,15-19,395579
1990,American Indian/Alaska Native,Not applicable,Female,20-24,413921
1990,American Indian/Alaska Native,Not applicable,Female,25-29,463396
1990,American Indian/Alaska Native,Not applicable,Female,30-34,483036
1990,American Indian/Alaska Native,Not applicable,Female,35-39,444014
1990,American Indian/Alaska Native,Not applicable,Female,40-44,382191
1990,American Indian/Alaska Native,Not applicable,Female,45-49,266191
1990,American Indian/Alaska Native,Not applicable,Female,50-54,204591
1990,American Indian/Alaska Native,Not applicable,Female,55-59,173001
1990,American Indian/Alaska Native,Not applicable,Female,60-64,154972
1990,American Indian/Alaska Native,Not applicable,Female,65-69,125026
1990,American Indian/Alaska Native,Not applicable,Female,70-74,85644
1990,American Indian/Alaska Native,Not applicable,Female,75-79,56797
1990,American Indian/Alaska Native,Not applicable,Female,80-84,29771
1990,American Indian/Alaska Native,Not applicable,Female,85+,22736
1990,American Indian/Alaska Native,Not applicable,Male,00-04,445594
1990,American Indian/Alaska Native,Not applicable,Male,05-09,422525
1990,American Indian/Alaska Native,Not applicable,Male,10-14,395967
1990,American Indian/Alaska Native,Not applicable,Male,15-19,423492
1990,American Indian/Alaska Native,Not applicable,Male,20-24,444948
1990,American Indian/Alaska Native,Not applicable,Male,25-29,460029
1990,American Indian/Alaska Native,Not applicable,Male,30-34,453805
1990,American Indian/Alaska Native,Not applicable,Male,35-39,403373
1990,American Indian/Alaska Native,Not applicable,Male,40-44,339905
1990,American Indian/Alaska Native,Not applicable,Male,45-49,247326
1990,American Indian/Alaska Native,Not applicable,Male,50-54,192430
1990,American Indian/Alaska Native,Not applicable,Male,55-59,146255
1990,American Indian/Alaska Native,Not applicable,Male,60-64,120882
1990,American Indian/Alaska Native,Not applicable,Male,65-69,100687
1990,American Indian/Alaska Native,Not applicable,Male,70-74,67934
1990,American Indian/Alaska Native,Not applicable,Male,75-79,45507
1990,American Indian/Alaska Native,Not applicable,Male,80-84,25087
1990,American Indian/Alaska Native,Not applicable,Male,85+,14985
1990,Black,Not applicable,Female,00-04,1466470
1990,Black,Not applicable,Female,05-09,1345207
1990,Black,Not applicable,Female,10-14,1314510
1990,Black,Not applicable,Female,15-19,1343029
1990,Black,Not applicable,Female,20-24,1355988
1990,Black,Not applicable,Female,25-29,1456147
1990,Black,Not applicable,Female,30-34,1455217
1990,Black,Not applicable,Female,35-39,1275606
1990,Black,Not applicable,Female,40-44,1030654
1990,Black,Not applicable,Female,45-49,772507
1990,Black,Not applicable,Female,50-54,651506
1990,Black,Not applicable,Female,55-59,581753
1990,Black,Not applicable,Female,60-64,554445
1990,Black,Not applicable,Female,65-69,499238
1990,Black,Not applicable,Female,70-74,387485
1990,Black,Not applicable,Female,75-79,305694
1990,Black,Not applicable,Female,80-84,191389
1990,Black,Not applicable,Female,85+,158614
1990,Black,Not applicable,Male,00-04,1500268
1990,Black,Not applicable,Male,05-09,1377465
1990,Black,Not applicable,Male,10-14,1341956
1990,Black,Not applicable,Male,15-19,1369464
1990,Black,Not applicable,Male,20-24,1300354
1990,Black,Not applicable,Male,25-29,1323717
1990,Black,Not applicable,Male,30-34,1277693
1990,Black,Not applicable,Male,35-39,1104870
1990,Black,Not applicable,Male,40-44,883161
1990,Black,Not applicable,Male,45-49,648805
1990,Black,Not applicable,Male,50-54,534120
1990,Black,Not applicable,Male,55-59,461282
1990,Black,Not applicable,Male,60-64,419503
1990,Black,Not applicable,Male,65-69,361145
1990,Black,Not applicable,Male,70-74,254781
1990,Black,Not applicable,Male,75-79,179086
1990,Black,Not applicable,Male,80-84,98535
1990,Black,Not applicable,Male,85+,66681
1990,White,Not applicable,Female,00-04,7313419
1990,White,Not applicable,Female,05-09,7067686
