Computed Missing Max Age,Race / Ethnicity,Date Of Last Contact,State Of Last Contact,Gender
29.0,White / Caucasian,6/5/78,FL,Female
37.0,Hispanic / Latino,7/30/08,AZ,Male
50.0,White / Caucasian,9/16/63,CA,Female
45.0,Black / African American,12/4/12,IN,Male
49.0,White / Caucasian,1/22/18,MO,Male
30.0,White / Caucasian,2/6/18,AK,Male
17.0,White / Caucasian;Hispanic / Latino,5/22/17,AZ,Male
43.0,White / Caucasian,3/1/84,KY,Male
18.0,Hispanic / Latino,9/26/10,AZ,Male
19.0,Asian,6/9/13,WA,Female
36.0,White / Caucasian,8/28/12,OK,Male
52.0,White / Caucasian,3/1/80,CA,Female
37.0,White / Caucasian,9/1/12,VA,Female
17.0,White / Caucasian,4/28/00,OR,Male
58.0,White / Caucasian,12/26/16,KY,Female
44.0,White / Caucasian,3/20/92,WA,Female
29.0,White / Caucasian,10/12/16,UT,Male
37.0,White / Caucasian,7/19/86,FL,Female
33.0,White / Caucasian,5/23/14,AL,Male
53.0,White / Caucasian,12/7/15,NC,Female
32.0,White / Caucasian,9/5/14,MO,Female
63.0,White / Caucasian,12/8/15,CA,Male
57.0,White / Caucasian,8/17/14,CO,Female
53.0,White / Caucasian,6/1/97,NV,Male
57.0,White / Caucasian,7/10/14,OR,Male
25.0,White / Caucasian,8/22/14,MN,Male
58.0,White / Caucasian,2/14/83,IA,Male
57.0,Asian,11/25/95,NY,Female
49.0,White / Caucasian,3/22/10,CA,Male
70.0,White / Caucasian,9/22/98,AR,Female
32.0,White / Caucasian,8/20/03,KY,Female
48.0,White / Caucasian,9/16/99,CA,Male
62.0,White / Caucasian,8/22/86,WA,Male
27.0,White / Caucasian,5/21/11,FL,Female
29.0,White / Caucasian,7/18/96,OH,Male
25.0,White / Caucasian,9/1/96,MI,Female
32.0,White / Caucasian,4/21/95,FL,Female
58.0,White / Caucasian,1/16/08,PA,Male
27.0,Black / African American,5/26/02,AR,Female
26.0,White / Caucasian;Hispanic / Latino,7/16/17,OR,Female
22.0,White / Caucasian,12/9/84,CA,Male
23.0,White / Caucasian,3/21/02,AZ,Male
47.0,White / Caucasian,9/25/57,IL,Female
39.0,White / Caucasian,8/6/07,TX,Male
34.0,White / Caucasian,7/19/86,SC,Female
21.0,White / Caucasian,2/5/13,CO,Female
39.0,White / Caucasian,1/17/96,WA,Female
27.0,Hispanic / Latino,7/6/96,AZ,Male
61.0,White / Caucasian,1/30/84,CO,Male
33.0,White / Caucasian,6/5/91,WY,Female
28.0,White / Caucasian,8/6/97,CA,Male
4.0,White / Caucasian,9/1/02,AR,Male
45.0,White / Caucasian,12/10/05,FL,Male
73.0,White / Caucasian,5/10/89,MN,Female
23.0,White / Caucasian,8/20/77,MN,Female
17.0,White / Caucasian,6/15/98,WA,Female
28.0,White / Caucasian,9/19/77,OH,Female
58.0,White / Caucasian,1/1/93,WV,Male
29.0,White / Caucasian;Hispanic / Latino,10/18/98,CO,Male
37.0,White / Caucasian,12/20/88,IN,Male
21.0,Hispanic / Latino,8/23/13,TX,Male
18.0,White / Caucasian,2/16/85,CA,Male
56.0,White / Caucasian;Hispanic / Latino,11/20/11,MI,Male
24.0,White / Caucasian,5/30/80,GA,Male
26.0,Hispanic / Latino,1/26/11,CA,Male
54.0,White / Caucasian,7/15/15,LA,Female
31.0,Black / African American,1/4/91,CA,Male
69.0,White / Caucasian,5/11/15,AZ,Male
14.0,Other,1/1/15,KS,Female
27.0,White / Caucasian,9/1/05,MI,Female
24.0,White / Caucasian,6/1/12,MD,Female
45.0,White / Caucasian;Hispanic / Latino,4/12/02,CA,Female
39.0,White / Caucasian,6/9/00,AZ,Male
71.0,Native American / Alaskan Native,7/13/04,SD,Male
26.0,White / Caucasian,7/1/96,WA,Male
17.0,Hispanic / Latino,4/22/11,FL,Female
24.0,White / Caucasian,5/1/12,TX,Female
46.0,White / Caucasian,11/2/07,MT,Female
26.0,White / Caucasian,9/7/70,MT,Female
56.0,White / Caucasian,11/14/12,IN,Male
44.0,White / Caucasian,4/15/05,OK,Male
24.0,White / Caucasian,1/13/83,WY,Male
39.0,White / Caucasian,12/14/15,OR,Male
22.0,White / Caucasian,9/8/13,AZ,Female
31.0,Native American / Alaskan Native,3/31/10,AK,Male
65.0,White / Caucasian,7/29/84,MD,Male
0.0,Black / African American,6/16/10,FL,Male
41.0,White / Caucasian,10/3/91,OK,Female
42.0,White / Caucasian,3/26/06,MI,Female
37.0,White / Caucasian,9/27/84,AK,Male
34.0,White / Caucasian,11/27/15,TN,Male
37.0,White / Caucasian,4/8/85,CA,Female
27.0,Hispanic / Latino,10/21/00,CA,Female
30.0,White / Caucasian;Hispanic / Latino,10/1/11,MI,Female
44.0,Black / African American,8/19/10,MI,Male
56.0,White / Caucasian,4/6/10,MO,Male
32.0,White / Caucasian,4/18/80,MO,Female
21.0,Hispanic / Latino,6/17/12,AZ,Male
18.0,White / Caucasian,11/13/85,CA,Female
39.0,Black / African American,7/1/11,MO,Male
31.0,White / Caucasian,8/23/12,NC,Female
61.0,Hispanic / Latino,6/21/12,AZ,Male
34.0,Hispanic / Latino,6/28/12,AZ,Male
12.0,White / Caucasian,7/12/82,VA,Female
37.0,White / Caucasian,1/25/18,IL,Female
40.0,White / Caucasian,11/2/87,CO,Male
26.0,White / Caucasian,5/10/87,CA,Male
35.0,White / Caucasian,5/22/13,TX,Female
26.0,White / Caucasian,8/22/81,KS,Male
